Place	District	State/Union
Biswanath Chariali	Sonitpur	Assam
Bohari	Barpeta	Assam
Bokajan	Karbi Anglong	Assam
Bokakhat	Golaghat	Assam
Bongaigaon	Bongaigaon	Assam
Bongaigaon	Bongaigaon	Assam
Borgolai Grant No.11	Tinsukia	Assam
Chabua	Dibrugarh	Assam
Chandrapur Bagicha	Kamrup	Assam
Chapar	Dhubri	Assam
Chekonidhara	Jorhat	Assam
Choto Haibor	Nagaon	Assam
Dergaon	Golaghat	Assam
Dharapur	Kamrup	Assam
Dhekiajuli	Sonitpur	Assam
Dhemaji	Dhemaji	Assam
Dhing	Nagaon	Assam
Dhubri	Dhubri	Assam
Dibrugarh	Dibrugarh	Assam
Digboi	Tinsukia	Assam
Digboi Oil Town	Tinsukia	Assam
Dimaruguri	Nagaon	Assam
Diphu	Karbi Anglong	Assam
Doboka	Nagaon	Assam
Dokmoka	Karbi Anglong	Assam
Donkamokam	Karbi Anglong	Assam
Doom Dooma	Tinsukia	Assam
Duliajan No.1	Dibrugarh	Assam
Duliajan Oil Town	Dibrugarh	Assam
Durga Nagar Part-V	Cachar	Assam
Gauripur	Dhubri	Assam
Goalpara	Goalpara	Assam
Gohpur	Sonitpur	Assam
Golaghat	Golaghat	Assam
Golokganj	Dhubri	Assam
Gossaigaon	Kokrajhar	Assam
Guwahati	Kamrup	Assam
Haflong	North Cachar Hills	Assam
Hailakandi	Hailakandi	Assam
Hamren	Karbi Anglong	Assam
Hindustan Paper Corporation Ltd. Township Area Panchgram	Hailakandi	Assam
Hojai	Nagaon	Assam
Howli	Barpeta	Assam
Howraghat	Karbi Anglong	Assam
Jagiroad	Marigaon	Assam
Jonai Bazar	Dhemaji	Assam
Jorhat	Jorhat	Assam
Kampur Town	Nagaon	Assam
Kanakpur Part-II	Cachar	Assam
Karimganj	Karimganj	Assam
Kharijapikon	Goalpara	Assam
Kharupatia	Darrang	Assam
Kochpara	Kamrup	Assam
Kokrajhar	Kokrajhar	Assam
Kumar Kaibarta Gaon	Jorhat	Assam
Lakhipur	Goalpara	Assam
Lakhipur	Cachar	Assam
Lala	Hailakandi	Assam
Lanka	Nagaon	Assam
Lido Tikok	Tinsukia	Assam
Lido Town	Tinsukia	Assam
Lumding	Nagaon	Assam
Lumding Rly Colony	Nagaon	Assam
Mahur	North Cachar Hills	Assam
Maibong	North Cachar Hills	Assam
Majgaon	Sonitpur	Assam
Makum	Tinsukia	Assam
Mangaldoi	Darrang	Assam
Mankachar	Dhubri	Assam
Margherita	Tinsukia	Assam
Mariani	Jorhat	Assam
Marigaon	Marigaon	Assam
Moran Town	Dibrugarh	Assam
Moranhat	Sibsagar	Assam
Nagaon	Nagaon	Assam
Naharkatiya	Dibrugarh	Assam
Nalbari	Nalbari	Assam
Namrup	Dibrugarh	Assam
Naubaisa Gaon	Jorhat	Assam
Nazira	Sibsagar	Assam
New Bongaigaon Rly. Colony	Bongaigaon	Assam
North Guwahati	Kamrup	Assam
North Lakhimpur	Lakhimpur	Assam
Numaligarh Refinery Township	Golaghat	Assam
Palasbari	Kamrup	Assam
Pathsala	Barpeta	Assam
Rangapara	Sonitpur	Assam
Rangia	Kamrup	Assam
Salakati	Kokrajhar	Assam
Sapatgram	Dhubri	Assam
Sarbhog	Barpeta	Assam
Sarthebari	Barpeta	Assam
Sarupathar	Golaghat	Assam
Sarupathar Bengali	Dibrugarh	Assam
Senchoa Gaon	Jorhat	Assam
Sibsagar	Sibsagar	Assam
Silapathar	Dhemaji	Assam
Silchar	Cachar	Assam
Silchar Part-X	Cachar	Assam
Sonari	Sibsagar	Assam
Sualkuchi	Kamrup	Assam
Tangla	Darrang	Assam
Tezpur	Sonitpur	Assam
Tihu	Nalbari	Assam
Tinsukia	Tinsukia	Assam
Titabor Town	Jorhat	Assam
Udalguri	Darrang	Assam
Umrangso	North Cachar Hills	Assam
Uttar Krishnapur Part-I	Cachar	Assam
Amarpur	Banka	Bihar
Araria	Araria	Bihar
Areraj	Purba Champaran	Bihar
Arrah	Bhojpur	Bihar
Asarganj	Munger	Bihar
Aurangabad	Aurangabad	Bihar
Bagaha	Pashchim Champaran	Bihar
Bahadurganj	Kishanganj	Bihar
Bairgania	Sitamarhi	Bihar
Bakhtiarpur	Patna	Bihar
Banka	Banka	Bihar
Banmankhi Bazar	Purnia	Bihar
Barahiya	Lakhisarai	Bihar
Barauli	Gopalganj	Bihar
Barauni IOC Township	Begusarai	Bihar
Barbigha	Sheikhpura	Bihar
Barh	Patna	Bihar
Begusarai	Begusarai	Bihar
Behea	Bhojpur	Bihar
Belsand	Sitamarhi	Bihar
Bettiah	Pashchim Champaran	Bihar
Bhabua	Kaimur (Bhabua)	Bihar
Bhagalpur (M.Corp)	Bhagalpur	Bihar
Bihar	Nalanda	Bihar
Bikramganj	Rohtas	Bihar
Birpur	Supaul	Bihar
Bodh Gaya	Gaya	Bihar
Buxar	Buxar	Bihar
Chakia	Purba Champaran	Bihar
Chanpatia	Pashchim Champaran	Bihar
Chapra	Saran	Bihar
Colgong	Bhagalpur	Bihar
Dalsinghsarai	Samastipur	Bihar
Darbhanga	Darbhanga	Bihar
Daudnagar	Aurangabad	Bihar
Dehri	Rohtas	Bihar
Dhaka	Purba Champaran	Bihar
Dighwara	Saran	Bihar
Dinapur Cantt.	Patna	Bihar
Dinapur Nizamat	Patna	Bihar
Dumra	Sitamarhi	Bihar
Dumraon	Buxar	Bihar
Fatwah	Patna	Bihar
Forbesganj	Araria	Bihar
Gaya	Gaya	Bihar
Ghoghardiha	Madhubani	Bihar
Gogri Jamalpur	Khagaria	Bihar
Gopalganj	Gopalganj	Bihar
Habibpur	Bhagalpur	Bihar
Hajipur	Vaishali	Bihar
Hilsa	Nalanda	Bihar
Hisua	Nawada	Bihar
Islampur	Nalanda	Bihar
Jagdishpur	Bhojpur	Bihar
Jainagar	Madhubani	Bihar
Jamalpur	Munger	Bihar
Jamhaur	Aurangabad	Bihar
Jamui	Jamui	Bihar
Janakpur Road	Sitamarhi	Bihar
Jehanabad	Jehanabad 	Bihar
Jhajha	Jamui	Bihar
Jhanjharpur	Madhubani	Bihar
Jogbani	Araria	Bihar
Kanti	Muzaffarpur	Bihar
Kasba	Purnia	Bihar
Kataiya	Gopalganj	Bihar
Katihar	Katihar	Bihar
Khagaria	Khagaria	Bihar
Khagaul	Patna	Bihar
Kharagpur	Munger	Bihar
Khusrupur	Patna	Bihar
Kishanganj	Kishanganj	Bihar
Koath	Rohtas	Bihar
Koilwar	Bhojpur	Bihar
Lakhisarai	Lakhisarai	Bihar
Lalganj	Vaishali	Bihar
Lauthaha	Purba Champaran	Bihar
Madhepura	Madhepura	Bihar
Madhubani	Madhubani	Bihar
Maharajganj	Siwan	Bihar
Mahnar Bazar	Vaishali	Bihar
Mairwa	Siwan	Bihar
Makhdumpur	Jehanabad 	Bihar
Maner	Patna	Bihar
Manihari	Katihar	Bihar
Marhaura	Saran	Bihar
Masaurhi	Patna	Bihar
Mirganj	Gopalganj	Bihar
Mohiuddinagar	Samastipur	Bihar
Mokameh	Patna	Bihar
Motihari	Purba Champaran	Bihar
Motipur	Muzaffarpur	Bihar
Munger	Munger	Bihar
Murliganj	Madhepura	Bihar
Muzaffarpur	Muzaffarpur	Bihar
Nabinagar	Aurangabad	Bihar
Narkatiaganj	Pashchim Champaran	Bihar
Naugachhia	Bhagalpur	Bihar
Nawada	Nawada	Bihar
Nirmali	Supaul	Bihar
Nokha	Rohtas	Bihar
Paharpur	Gaya	Bihar
Patna	Patna	Bihar
Phulwari Sharif	Patna	Bihar
Piro	Bhojpur	Bihar
Purnia	Purnia	Bihar
Rafiganj	Aurangabad	Bihar
Raghunathpur	Katihar	Bihar
Rajgir	Nalanda	Bihar
Ramnagar	Pashchim Champaran	Bihar
Raxaul Bazar	Purba Champaran	Bihar
Revelganj	Saran	Bihar
Rosera	Samastipur	Bihar
Saharsa	Saharsa	Bihar
Samastipur	Samastipur	Bihar
Sasaram	Rohtas	Bihar
Shahpur	Bhojpur	Bihar
Sheikhpura	Sheikhpura	Bihar
Sheohar	Sheohar	Bihar
Sherghati	Gaya	Bihar
Silao	Nalanda	Bihar
Sitamarhi	Sitamarhi	Bihar
Siwan	Siwan	Bihar
Sonepur	Saran	Bihar
Sugauli	Purba Champaran	Bihar
Sultanganj	Bhagalpur	Bihar
Supaul	Supaul	Bihar
Tekari	Gaya	Bihar
Thakurganj	Kishanganj	Bihar
Warisaliganj	Nawada	Bihar
Chandigarh	Chandigarh	Chandigarh *
Ahiwara	Durg	Chhattisgarh
Akaltara	Janjgir-Champa	Chhattisgarh
Ambagarh Chowki	Rajnandgaon	Chhattisgarh
Ambikapur	Surguja	Chhattisgarh
Arang	Raipur	Chhattisgarh
Bade Bacheli	Dantewada	Chhattisgarh
Bagbahara	Mahasamund	Chhattisgarh
Baikunthpur	Koriya	Chhattisgarh
Balod	Durg	Chhattisgarh
Baloda	Janjgir-Champa	Chhattisgarh
Baloda Bazar	Raipur	Chhattisgarh
Banarsi	Raipur	Chhattisgarh
Basna	Mahasamund	Chhattisgarh
Bemetra	Durg	Chhattisgarh
Bhanpuri	Raipur	Chhattisgarh
Bhatapara	Raipur	Chhattisgarh
Bhatgaon	Raipur	Chhattisgarh
Bhilai Charoda	Durg	Chhattisgarh
Bhilai Nagar	Durg	Chhattisgarh
Bilaspur	Bilaspur	Chhattisgarh
Bilha	Bilaspur	Chhattisgarh
Birgaon	Raipur	Chhattisgarh
Bodri	Bilaspur	Chhattisgarh
Champa	Janjgir-Champa	Chhattisgarh
Chharchha	Koriya	Chhattisgarh
Chhuikhadan	Rajnandgaon	Chhattisgarh
Chirmiri	Koriya	Chhattisgarh
Dalli-Rajhara	Durg	Chhattisgarh
Dantewada	Dantewada	Chhattisgarh
Deori	Bilaspur	Chhattisgarh
Dhamdha	Durg	Chhattisgarh
Dhamtari	Dhamtari	Chhattisgarh
Dharamjaigarh	Raigarh	Chhattisgarh
Dipka	Korba	Chhattisgarh
Dongargaon	Rajnandgaon	Chhattisgarh
Dongragarh	Rajnandgaon	Chhattisgarh
Durg	Durg	Chhattisgarh
Frezarpur	Bastar	Chhattisgarh
Gandai	Rajnandgaon	Chhattisgarh
Gaurella	Bilaspur	Chhattisgarh
Geedam	Dantewada	Chhattisgarh
Gharghoda	Raigarh	Chhattisgarh
Gobranawapara	Raipur	Chhattisgarh
Gogaon	Raipur	Chhattisgarh
Hatkachora	Bastar	Chhattisgarh
Jagdalpur	Bastar	Chhattisgarh
Jamul	Durg	Chhattisgarh
Jashpur nagar	Jashpur	Chhattisgarh
Jhagrakhand	Koriya	Chhattisgarh
Kanker	Kanker	Chhattisgarh
Katghora	Korba	Chhattisgarh
Kawardha	Kawardha	Chhattisgarh
Khairagarh	Rajnandgaon	Chhattisgarh
Khamhria	Durg	Chhattisgarh
Kharod	Janjgir-Champa	Chhattisgarh
Kharsia	Raigarh	Chhattisgarh
Khongapani	Koriya	Chhattisgarh
Kirandul	Dantewada	Chhattisgarh
Kondagaon	Bastar	Chhattisgarh
Korba	Korba	Chhattisgarh
Kota	Bilaspur	Chhattisgarh
Kumhari	Durg	Chhattisgarh
Kurud	Dhamtari	Chhattisgarh
Lingiyadih	Bilaspur	Chhattisgarh
Lormi	Bilaspur	Chhattisgarh
Mahasamund	Mahasamund	Chhattisgarh
Manendragarh	Koriya	Chhattisgarh
Mehmand	Bilaspur	Chhattisgarh
Mowa	Raipur	Chhattisgarh
Mungeli	Bilaspur	Chhattisgarh
Naila Janjgir	Janjgir-Champa	Chhattisgarh
Namna Kalan	Surguja	Chhattisgarh
Naya Baradwar	Janjgir-Champa	Chhattisgarh
Pandariya	Kawardha	Chhattisgarh
Patan	Durg	Chhattisgarh
Pathalgaon	Jashpur	Chhattisgarh
Pendra	Bilaspur	Chhattisgarh
Phunderdihari	Surguja	Chhattisgarh
Pithora	Mahasamund	Chhattisgarh
Raigarh	Raigarh	Chhattisgarh
Raipur	Raipur	Chhattisgarh
Rajgamar	Korba	Chhattisgarh
Rajnandgaon	Rajnandgaon	Chhattisgarh
Ramanujganj	Surguja	Chhattisgarh
Ratanpur	Bilaspur	Chhattisgarh
Sakti	Janjgir-Champa	Chhattisgarh
Saraipali	Mahasamund	Chhattisgarh
Sarangarh	Raigarh	Chhattisgarh
Shivrinarayan	Janjgir-Champa	Chhattisgarh
Simga	Raipur	Chhattisgarh
Sirgiti	Bilaspur	Chhattisgarh
Surajpur	Surguja	Chhattisgarh
Takhatpur	Bilaspur	Chhattisgarh
Telgaon	Surguja	Chhattisgarh
Tilda Newra	Raipur	Chhattisgarh
Urla	Raipur	Chhattisgarh
Vishrampur	Surguja	Chhattisgarh
Amli	Dadra & Nagar Haveli	Dadra & Nagar Haveli *
Silvassa	Dadra & Nagar Haveli	Dadra & Nagar Haveli *
Daman	Daman	Daman & Diu *
Diu	Diu	Daman & Diu *
Ali Pur	North West	Delhi *
Asola	South	Delhi *
Babar Pur	North East	Delhi *
Bankner	North West	Delhi *
Bawana	North West	Delhi *
Begum Pur	North West	Delhi *
Bhalswa Jahangir Pur	North West	Delhi *
Bhati	South	Delhi *
Burari	North	Delhi *
Chhawla	South West	Delhi *
Chilla Saroda Bangar	East	Delhi *
Dallo Pura	East	Delhi *
Dayal Pur	North East	Delhi *
Delhi Cantt.	South West	Delhi *
Delhi Municipal Corporation (U)	In all 9 dsitricts	Delhi *
Deoli	South	Delhi *
Gharoli	East	Delhi *
Gharonda Neemka Bangar alias Patpar Ganj	East	Delhi *
Gheora	North West	Delhi *
Ghitorni	South West	Delhi *
Ghoga	North West	Delhi *
Gokal Pur	North East	Delhi *
Hastsal	West	Delhi *
Jaffrabad	North East	Delhi *
Jharoda Majra Burari	North	Delhi *
Jiwan Pur alias Johri Pur	North East	Delhi *
Jona Pur	South	Delhi *
Kanjhawala	North West	Delhi *
Kapas Hera	South West	Delhi *
Karawal Nagar	North East	Delhi *
Khajoori Khas	North East	Delhi *
Khera Khurd	North West	Delhi *
Kirari Suleman Nagar	North West	Delhi *
Kondli	East	Delhi *
Libas Pur	North West	Delhi *
Mirpur Turk	North East	Delhi *
Mithe Pur	South	Delhi *
Molar Band	South	Delhi *
Mundka	West	Delhi *
Mustafabad	North East	Delhi *
Nangal Dewat	South West	Delhi *
Nangal Thakran	North West	Delhi *
Nangloi Jat	West	Delhi *
New Delhi Municipal Council	New Delhi	Delhi *
Pehlad Pur Bangar	North West	Delhi *
Pooth Kalan	North West	Delhi *
Pooth Khurd	North West	Delhi *
Pul Pehlad	South	Delhi *
Quammruddin Nagar	West	Delhi *
Rajokri	South West	Delhi *
Roshan Pura alias Dichaon Khurd	South West	Delhi *
Sadat Pur Gujran	North East	Delhi *
Sahibabad Daulat Pur	North West	Delhi *
Saidul Ajaib	South	Delhi *
Sambhalka	South West	Delhi *
Sanoth	North West	Delhi *
Siras Pur	North West	Delhi *
Sultan Pur	South	Delhi *
Sultan Pur Majra	North West	Delhi *
Taj Pul	South	Delhi *
Tigri	South	Delhi *
Ziauddin Pur	North East	Delhi *
Aldona	North Goa 	Goa
Aquem	South Goa	Goa
Bambolim	North Goa 	Goa
Bandora	North Goa 	Goa
Benaulim	South Goa	Goa
Bicholim	North Goa 	Goa
Calangute	North Goa 	Goa
Calapor	North Goa 	Goa
Canacona	South Goa	Goa
Candolim	North Goa 	Goa
Carapur	North Goa 	Goa
Chicalim	South Goa	Goa
Chimbel	North Goa 	Goa
Chinchinim	South Goa	Goa
Colvale	North Goa 	Goa
Cuncolim	South Goa	Goa
Curchorem Cacora	South Goa	Goa
Curti	North Goa 	Goa
Davorlim	South Goa	Goa
Goa Velha	North Goa 	Goa
Guirim	North Goa 	Goa
Mapusa	North Goa 	Goa
Margao	South Goa	Goa
Mormugao	South Goa	Goa
Navelim	South Goa	Goa
Pale	North Goa 	Goa
Panaji	North Goa 	Goa
Parcem	North Goa 	Goa
Penha-de-Franca	North Goa 	Goa
Pernem	North Goa 	Goa
Ponda	North Goa 	Goa
Quepem	South Goa	Goa
Queula	North Goa 	Goa
Reis Magos	North Goa 	Goa
Saligao	North Goa 	Goa
Sancoale	South Goa	Goa
Sanguem	South Goa	Goa
Sanquelim	North Goa 	Goa
Sanvordem	South Goa	Goa
Sao Jose-de-Areal	South Goa	Goa
Siolim	North Goa 	Goa
Socorro (Serula)	North Goa 	Goa
Valpoi	North Goa 	Goa
Varca	South Goa	Goa
